"id","me","tema","enunciado","alternativa_a","alternativa_b","alternativa_c","alternativa_d","correta","explicacao"
"62812d79-a8a2-42f2-b89b-b425f6e920aa","ME3","Fisiologia CV","1o Trimestre ME3 - Em fisiologia cardiovascular, qual variável mais influencia consumo miocárdico de oxigênio?","Débito urinário","Frequência cardíaca","Volume residual pulmonar","Saturação venosa central","B","Não possui relação direta.

Correta. Frequência cardíaca e tensão parietal são determinantes principais do VO2 miocárdico.

Sem relação principal.

SvO2 não determina diretamente consumo miocárdico."
"ed5748d4-a0dd-4b9a-9543-a3ba5aaa895c","ME3","Halogenados","1o Trimestre ME3 - Qual agente inalatório possui maior potencial arritmogênico clássico?","Sevoflurano","Desflurano","Halotano","Isoflurano","C","Sevoflurano possui perfil mais seguro.

Desflurano pode causar taquicardia simpática.

Correta. Halotano sensibiliza o miocárdio às catecolaminas.

Isoflurano possui menor arritmogenicidade."
"ee94eec6-f86a-4544-91c8-7877adadb304","ME3","Opioides","1o Trimestre ME3 - Qual opioide possui metabólito ativo associado a neurotoxicidade em insuficiência renal?","Remifentanil","Morfina","Fentanil","Alfentanil","B","Remifentanil possui metabólitos inativos clinicamente.

Correta. Morfina-6-glicuronídeo pode acumular-se.

Fentanil possui menor dependência renal.

Alfentanil depende mais do metabolismo hepático."
"3d2c61e5-a632-4a55-8822-bd8005be2c25","ME3","Opioides","1o Trimestre ME3 - Em farmacologia dos opioides, qual receptor está mais relacionado à depressão respiratória?","Mu","NMDA","Nicotínico","Muscarínico","A","Correta. Receptores mu mediam analgesia e depressão respiratória.

NMDA não é receptor opioide.

Nicotínicos relacionam-se à acetilcolina.

Muscarínicos não pertencem ao sistema opioide."
"e1ad325c-c415-4572-bc97-821c0cea2f1a","ME3","Anestésicos IV","1o Trimestre ME3 - Qual anestésico venoso possui propriedades simpatomiméticas?","Propofol","Etomidato","Cetamina","Midazolam","C","Propofol reduz pressão arterial.

Etomidato mantém relativa estabilidade.

Correta. Cetamina aumenta FC e pressão arterial.

Midazolam não possui ação simpatomimética relevante."
"2cfc3eb4-fdd6-4e9e-a331-9b46de7d8748","ME3","Anestésicos Locais","1o Trimestre ME3 - Em farmacologia dos anestésicos locais, qual propriedade relaciona-se mais à duração de ação?","pKa","Ligação proteica","Peso molecular","Coeficiente sangue:gás","B","pKa relaciona-se ao início de ação.

Correta. Maior ligação proteica prolonga duração.

Peso molecular não é principal fator.

Coeficiente sangue:gás aplica-se aos voláteis."
"8830d0ef-6131-42a5-a97d-d946be63d900","ME3","Farmacodinâmica","1o Trimestre ME3 - Em farmacodinâmica, índice terapêutico elevado significa:","Maior toxicidade","Maior margem de segurança","Menor potência","Maior metabolismo","B","Não corresponde ao conceito.

Correta. Quanto maior o índice terapêutico, maior segurança relativa.

Potência é conceito distinto.

Metabolismo não define índice terapêutico."
"8ca75af6-e718-43c0-9af2-cdd310d0493b","ME3","Anestésicos Locais","1o Trimestre ME3 - Qual anestésico local possui menor cardiotoxicidade relativa?","Bupivacaína","Ropivacaína","Etidocaína","Tetracaína","B","Bupivacaína é mais cardiotóxica.

Correta. Ropivacaína apresenta perfil cardiovascular mais seguro.

Etidocaína possui maior toxicidade.

Tetracaína não possui melhor perfil cardiovascular."
"dff150f2-a374-41e6-8dd0-2b97c4202993","ME3","Bloqueadores NM","1o Trimestre ME3 - Qual bloqueador neuromuscular é revertido especificamente por sugamadex?","Atracúrio","Cisatracúrio","Rocurônio","Succinilcolina","C","Atracúrio não é encapsulado.

Cisatracúrio não possui reversão específica.

Correta. Sugamadex encapsula aminosteroides.

Succinilcolina não é revertida por sugamadex."
"776c918d-03b4-4507-a336-0d3631a4707e","ME3","Anestésicos Locais","1o Trimestre ME3 - Em farmacologia dos anestésicos locais, qual classe sofre metabolismo plasmático predominante?","Amidas","Ésteres","Aminoálcoois","Benzodiazepínicos","B","Amidas sofrem metabolismo hepático.

Correta. Esterases plasmáticas metabolizam anestésicos locais do tipo éster.

Não corresponde à classificação anestésica.

Benzodiazepínicos não são anestésicos locais."
"12562096-5315-4ef9-b1f4-245974bd11f6","ME3","Anestésicos Locais","1o Trimestre ME3 - Qual anestésico local possui maior duração de ação?","Cloroprocaína","Lidocaína","Bupivacaína","Procaína","C","Cloroprocaína possui curta duração.

Lidocaína apresenta duração intermediária.

Correta. Bupivacaína possui longa duração anestésica.

Procaína possui curta duração."
"4396bee1-6780-422a-a916-802c33c2dcd4","ME3","Anestésicos IV","1o Trimestre ME3 - Qual anestésico venoso reduz mais intensamente o metabolismo cerebral?","Cetamina","Propofol","Etomidato","Dexmedetomidina","B","Cetamina pode aumentar FSC.

Correta. Propofol reduz metabolismo cerebral e fluxo sanguíneo cerebral significativamente.

Etomidato reduz metabolismo, porém menos intensamente.

Dexmedetomidina possui efeito menor."
"9b444847-54e3-42f3-85a5-ce73ec2c71cb","ME3","Fisiologia Respiratória","1o Trimestre ME3 - Em fisiologia respiratória, qual condição aumenta espaço morto fisiológico?","Shunt pulmonar","Embolia pulmonar","Atelectasia","Hipotermia","B","Shunt reduz ventilação relativa.

Correta. Há ventilação sem perfusão adequada.

Atelectasia aumenta shunt.

Hipotermia não é principal causa."
"4d28b05c-ae8a-47f6-838c-fc9c21d87d29","ME3","Fisiologia AB","1o Trimestre ME3 - Em fisiologia ácido-base, acidose respiratória decorre de:","Hiperventilação","Redução da PaCO2","Hipoventilação","Perda renal de bicarbonato","C","Hiperventilação gera alcalose.

Redução da PaCO2 produz alcalose.

Correta. Retenção de CO2 aumenta acidez plasmática.

Perda de bicarbonato causa acidose metabólica."
"d134a6fc-65f6-4d2e-b7d3-9c118d03dae4","ME3","Fisiologia CV","1o Trimestre ME3 - Em fisiologia cardiovascular, qual vaso contribui mais para resistência vascular sistêmica?","Capilares","Veias","Arteríolas","Átrio esquerdo","C","Capilares possuem menor papel regulatório.

Veias são vasos capacitantes.

Correta. Arteríolas regulam principal resistência periférica.

Átrio não regula RVS."
"2fe11f4f-bc62-43e9-953e-dbc2660a1d99","ME3","Bloqueadores NM","1o Trimestre ME3 - Em farmacologia dos bloqueadores neuromusculares, qual fármaco pode desencadear fasciculações?","Rocurônio","Atracúrio","Succinilcolina","Vecurônio","C","Rocurônio é não despolarizante.

Atracúrio não provoca fasciculações típicas.

Correta. A despolarização inicial gera fasciculações musculares.

Vecurônio é não despolarizante."
"66c0b125-6932-4386-b0dd-8d14eb87752f","ME3","Fisiologia","1o Trimestre ME3 - Em fisiologia respiratória, qual alteração ocorre na hipercapnia?","Vasoconstrição cerebral","Redução do FSC","Vasodilatação cerebral","Alcalose respiratória","C","Hipercapnia promove vasodilatação.

O FSC aumenta.

Correta. CO2 elevado aumenta fluxo cerebral.

Hipercapnia causa acidose respiratória."
"0e2b4e29-1880-4790-9db0-0e5ac8ae908f","ME3","Fisiologia Respiratória","1o Trimestre ME3 - Em fisiologia respiratória, complacência pulmonar representa:","Resistência vascular pulmonar","Facilidade de distensão pulmonar","Fluxo expiratório máximo","Difusão alveolar","B","Não corresponde ao conceito.

Correta. A complacência mede variação volumétrica pela pressão.

Fluxo depende principalmente da resistência.

Difusão não define complacência."
"a00b2613-c681-474a-8c2c-9a245ec86bf6","ME3","Fisiologia","1o Trimestre ME3 - Em fisiologia respiratória, qual condição reduz afinidade da hemoglobina pelo oxigênio?","Hipotermia","Alcalose","Acidose","Hipocapnia","C","Hipotermia aumenta afinidade.

Alcalose desloca curva para esquerda.

Correta. Acidose favorece liberação tecidual de O2.

Hipocapnia aumenta afinidade."
"d4891b04-a9a6-48c6-b05c-ff24d8d66c98","ME3","Fisiologia AB","1o Trimestre ME3 - Em fisiologia ácido-base, alcalose respiratória decorre de:","Hipoventilação","Hipercapnia","Hiperventilação","Retenção renal de bicarbonato","C","Hipoventilação produz acidose.

Hipercapnia gera acidose respiratória.

Correta. A eliminação excessiva de CO2 causa alcalose.

Retenção de bicarbonato é compensatória renal."
"f04b980e-2eee-46a6-8860-719d65caa149","ME3","Fisiologia CV","1o Trimestre ME3 - Em fisiologia cardiovascular, qual alteração ocorre inicialmente no choque hemorrágico?","Bradicardia","Hipertensão","Taquicardia compensatória","Hipocalcemia","C","Bradicardia é sinal tardio.

Hipotensão é mais frequente.

Correta. A resposta simpática aumenta FC precocemente.

Hipocalcemia pode ocorrer tardiamente."
"2d41d02c-6560-4c44-92f5-d36d110ad1c6","ME3","Fisiologia CV","1o Trimestre ME3 - Em fisiologia cardiovascular, qual fator reduz retorno venoso?","Hipervolemia","PEEP elevada","Contração muscular periférica","Vasoconstrição venosa","B","Hipervolemia aumenta retorno venoso.

Correta. A pressão intratorácica elevada reduz retorno venoso.

A bomba muscular aumenta retorno venoso.

Vasoconstrição venosa aumenta retorno venoso."
"48802b9e-7022-402c-888f-170b305c9cda","ME3","Farmacocinética","1o Trimestre ME3 - Em farmacocinética, a meia-vida contexto sensível do remifentanil é caracterizada por:","Aumento progressivo após infusões longas","Independência da duração da infusão","Dependência exclusiva da função hepática","Acúmulo importante em obesidade","B","Remifentanil apresenta recuperação rápida.

Correta. A metabolização por esterases mantém recuperação previsível.

Não depende exclusivamente do fígado.

Acúmulo é mínimo."
"c2fb183f-e170-4c8d-b661-70b9bc353c82","ME3","Bloqueadores NM","1o Trimestre ME3 - Qual bloqueador neuromuscular apresenta maior dependência renal para eliminação?","Atracúrio","Cisatracúrio","Pancurônio","Mivacúrio","C","Atracúrio sofre Hofmann.

Cisatracúrio possui eliminação organoindependente.

Correta. Pancurônio depende significativamente da função renal.

Mivacúrio depende de pseudocolinesterase."
"be4c6bc3-f56f-467b-91ff-dc6882166899","ME3","Anestésicos Locais","1o Trimestre ME3 - Qual anestésico local está mais associado à metahemoglobinemia?","Lidocaína","Prilocaína","Bupivacaína","Ropivacaína","B","Lidocaína raramente causa metahemoglobinemia significativa.

Correta. Metabólitos oxidantes da prilocaína geram metahemoglobina.

Bupivacaína associa-se mais à cardiotoxicidade.

Ropivacaína possui perfil mais seguro."
"3d29e85c-a737-4e66-a2fa-7dc02f96bb63","ME3","Anestésicos Locais","1o Trimestre ME3 - Em farmacologia dos anestésicos locais, alcalinização da solução promove:","Retardo do início","Aumento da fração ionizada","Início de ação mais rápido","Redução da potência","C","A alcalinização acelera início.

Aumenta a fração não ionizada.

Correta. A forma lipossolúvel atravessa membranas rapidamente.

Potência não reduz necessariamente."
"6353973f-bb97-45ea-89dd-ec2353e0e854","ME3","Farmacologia","1o Trimestre ME3 - Qual condição aumenta a MAC dos anestésicos voláteis?","Idade avançada","Hipotermia","Hipernatremia","Uso agudo de álcool","C","Idosos necessitam menor MAC.

Hipotermia reduz necessidade anestésica.

Correta. Hipernatremia pode aumentar MAC.

Álcool agudo reduz MAC."
"d0875b8b-6d80-4acc-900f-117c048e3736","ME3","Halogenados","1o Trimestre ME3 - Qual anestésico inalatório possui maior potencial de irritação de vias aéreas?","Sevoflurano","Desflurano","Halotano","Óxido nitroso","B","Sevoflurano é pouco irritante.

Correta. Desflurano pode desencadear tosse e broncoespasmo.

Halotano é menos pungente.

Óxido nitroso é pouco irritante."
"e09d8a12-547f-4e42-9561-11eaf01c8b0f","ME3","Halogenados","1o Trimestre ME3 - Qual agente inalatório apresenta maior risco de nefrotoxicidade teórica por composto A?","Isoflurano","Desflurano","Sevoflurano","Halotano","C","Isoflurano não produz composto A relevante.

Desflurano possui metabolismo mínimo.

Correta. Sevoflurano pode formar composto A em baixos fluxos.

Halotano não possui essa associação clássica."
"2bbc9856-cb30-4387-9c2b-945c71b3d9d5","ME3","Fisiologia","1o Trimestre ME3 - Qual alteração desloca a curva de dissociação da oxi-hemoglobina para a direita?","Hipotermia","Alcalose","Hipocapnia","Acidose","D","Hipotermia aumenta afinidade pelo oxigênio.

Alcalose desloca para esquerda.

Hipocapnia desloca para esquerda.

Correta. Acidose facilita liberação de oxigênio aos tecidos."
"c08b74d6-034f-47b7-be9c-ad8fe4cfc209","ME3","Farmacodinâmica","1o Trimestre ME3 - Em farmacodinâmica, potência refere-se a:","Velocidade de ação","Dose necessária para produzir efeito","Tempo de eliminação","Ligação proteica","B","Velocidade relaciona-se ao início de ação.

Correta. Potência reflete quantidade necessária para determinado efeito.

Não corresponde à definição.

Ligação proteica não define potência."
"ed3de64d-9518-4789-92ac-a51b7170d545","ME3","Fisiologia Respiratória","1o Trimestre ME3 - Em fisiologia respiratória, o principal estímulo ventilatório em indivíduos normais é:","Hipoxemia","Hipercapnia","Hipocalcemia","Alcalose","B","Hipoxemia torna-se relevante em situações específicas.

Correta. PaCO2 é o principal estímulo central da ventilação.

Hipocalcemia não regula ventilação.

Alcalose reduz drive respiratório."
"4c2eafb8-d113-41bc-9b03-17f1824604da","ME3","Anestésicos IV","1o Trimestre ME3 - Qual agente intravenoso é mais associado à supressão adrenal transitória?","Cetamina","Propofol","Etomidato","Midazolam","C","Cetamina não suprime adrenal significativamente.

Propofol não possui esse efeito clássico.

Correta. Etomidato inibe a 11-beta-hidroxilase.

Midazolam não possui esse efeito principal."
"90c74e25-9411-4c08-be57-754a364e4703","ME3","Fisiologia CV","1o Trimestre ME3 - Em fisiologia cardiovascular, pré-carga ventricular corresponde a:","Resistência vascular sistêmica","Volume diastólico ventricular","Contratilidade","Frequência cardíaca","B","RVS corresponde à pós-carga.

Correta. O enchimento ventricular determina pré-carga.

Contratilidade é inotropismo.

FC não define pré-carga."
"2055f243-d406-470b-8bbf-5b3f5653efb9","ME3","Fisiologia Renal","1o Trimestre ME3 - Em fisiologia renal, qual mecanismo regula principalmente filtração glomerular?","Pressão de perfusão glomerular","Temperatura corporal","Volume residual pulmonar","Concentração de hemoglobina","A","Correta. A TFG depende principalmente da pressão de filtração.

Temperatura possui pouca influência direta.

Sem relação direta.

Hemoglobina não regula TFG."
"12bdb96a-3b5a-4a3a-aacd-02a371587315","ME3","Opioides","1o Trimestre ME3 - Em farmacologia dos opioides, qual efeito ocorre por ativação dos receptores mu?","Broncodilatação","Midríase","Depressão respiratória","Hiperglicemia","C","Broncodilatação não é efeito típico.

Opioides geralmente causam miose.

Correta. A ativação mu reduz drive ventilatório.

Hiperglicemia não é efeito clássico."
"cf138716-2c72-45e4-8ee7-2f016373a39a","ME3","Anestésicos Locais","1o Trimestre ME3 - Em farmacologia dos anestésicos locais, qual fator aumenta difusão neural?","Maior lipossolubilidade","Maior ionização","Menor potência","Maior metabolismo plasmático","A","Correta. A lipossolubilidade facilita atravessar membranas neurais.

A forma ionizada atravessa menos membranas.

Potência não define difusão diretamente.

Metabolismo não influencia penetração neural."
"4f899d4c-f0e6-4a02-bd9d-d68f26b6eee6","ME3","Fisiologia Respiratória","1o Trimestre ME3 - Em fisiologia respiratória, qual fator aumenta resistência de vias aéreas?","Broncodilatação","Aumento do raio brônquico","Broncoespasmo","PEEP moderada","C","Broncodilatação reduz resistência.

Maior raio reduz resistência.

Correta. O broncoespasmo aumenta resistência ao fluxo aéreo.

PEEP moderada não é principal fator."
"d8572c76-692d-4bbf-b878-8b29deb68f08","ME3","Opioides","1o Trimestre ME3 - Em farmacologia dos opioides, qual efeito adverso resulta da ativação vagal?","Taquicardia","Midríase","Bradicardia","Hiperglicemia","C","Opioides geralmente não causam taquicardia.

Midríase não é típica.

Correta. Opioides podem aumentar tônus vagal e causar bradicardia.

Hiperglicemia não é efeito clássico."
"42e50ac4-bc81-4061-b9b0-1549bba97aee","ME3","Bloqueadores NM","1o Trimestre ME3 - Em farmacologia dos bloqueadores neuromusculares, qual condição prolonga ação da succinilcolina?","Deficiência de pseudocolinesterase","Hipernatremia","Hiperventilação","Hipercalcemia","A","Correta. A metabolização reduzida prolonga bloqueio.

Hipernatremia não prolonga significativamente.

Hiperventilação não interfere.

Hipercalcemia não é principal fator."
"c295849c-8b0f-4394-8b5d-c31f07f515fc","ME3","Anestésicos IV","1o Trimestre ME3 - Qual anestésico intravenoso está mais associado à dor à injeção?","Midazolam","Propofol","Cetamina","Etomidato","B","Midazolam raramente provoca dor intensa.

Correta. Propofol frequentemente causa dor venosa.

Cetamina possui baixa incidência.

Etomidato relaciona-se mais à mioclonia."
"b0bf6904-4cb0-41ec-a6aa-cd1be89f6067","ME3","Farmacologia","1o Trimestre ME3 - Qual agente anestésico apresenta propriedades antieméticas intrínsecas?","Cetamina","Propofol","Etomidato","Óxido nitroso","B","Cetamina pode aumentar NVPO.

Correta. Propofol reduz incidência de náuseas e vômitos.

Etomidato associa-se a NVPO.

Óxido nitroso aumenta NVPO."
"88dfaf64-75f7-4a0d-a394-c86bcf5a010d","ME3","Halogenados","1o Trimestre ME3 - Qual agente inalatório possui menor pungência e melhor perfil para indução inalatória?","Desflurano","Isoflurano","Sevoflurano","Halotano","C","Desflurano é irritante.

Isoflurano também irrita vias aéreas.

Correta. Sevoflurano possui odor agradável e baixa irritabilidade.

Halotano é pouco utilizado atualmente."
"66ec02bf-ba03-4b95-9ee0-8449e3cbf208","ME3","Anestésicos IV","1o Trimestre ME3 - Qual anestésico venoso possui maior estabilidade hemodinâmica?","Propofol","Tiopental","Etomidato","Midazolam","C","Propofol reduz pressão arterial significativamente.

Tiopental pode deprimir miocárdio.

Correta. Etomidato preserva estabilidade cardiovascular relativa.

Midazolam pode causar hipotensão."
"57d63838-c7e1-4123-9b75-4ad3f4a69337","ME3","Sepse","Em relação à fisiopatologia da sepse no perioperatório, qual alteração hemodinâmica é mais característica da fase hiperdinâmica inicial do choque séptico?","Redução do débito cardíaco e aumento da resistência vascular sistêmica","Aumento do débito cardíaco e redução da resistência vascular sistêmica","Aumento da pós-carga ventricular esquerda","Hipovolemia absoluta sem vasodilatação","B",""
"8847a50d-7aba-404f-9e62-e80b5d25f29e","ME3","Farmacologia","Em relação ao etomidato, assinale a alternativa correta:","Promove intensa liberação histamínica","Possui importante efeito broncodilatador","Inibe temporariamente a enzima 11-beta-hidroxilase","Está associado à hipertensão arterial grave durante indução","C",""
"9a8a32e0-0163-4c9f-8575-a483632612db","ME3","Trauma","Paciente politraumatizado apresenta acidose metabólica grave, hipotermia e coagulopatia durante laparotomia de controle de danos. Essa associação corresponde à:","Tríade letal do trauma","Resposta inflamatória compensatória","Síndrome compartimental abdominal","Tríade de Beck","A",""
"e98518d2-5a13-435a-9eac-f0606e95b254","ME3","Ventilação Mecânica","Durante ventilação mecânica protetora em paciente com SDRA moderada, qual estratégia é mais recomendada?","Volume corrente de 10-12 mL/kg de peso predito","PEEP mínima para evitar hipotensão","Volume corrente de 4-6 mL/kg de peso predito","Hiperventilação para normalizar obrigatoriamente o pH","C",""
"3f87322c-9754-4bce-90b8-54bb7eb9fc6f","ME3","Paciente submetido à cirurgia cardíaca c","Paciente submetido à cirurgia cardíaca com CEC apresenta vasoplegia refratária. Qual droga pode ser utilizada como terapia adjuvante?","Atropina","Azul de metileno","Flumazenil","Protamina em bolus","B",""
"6b190c99-93d3-43ab-86cf-28a23b88ace5","ME3","Durante neurocirurgia em posição sentada","Durante neurocirurgia em posição sentada, qual monitor possui maior sensibilidade para detecção de embolia aérea venosa?","Pressão arterial invasiva","Oximetria de pulso","Doppler precordial","Temperatura esofágica","C",""
"7f0e5d82-4880-4b66-a234-4775ba6be263","ME3","Paciente com hipertensão pulmonar grave","Paciente com hipertensão pulmonar grave apresenta instabilidade após indução anestésica. Qual intervenção é mais adequada?","Hipercapnia permissiva","Redução abrupta da FiO2","Óxido nítrico inalatório","PEEP elevada indiscriminadamente","C",""
"94677190-d7c8-4db7-868d-286716be2ade","ME3","Paciente em ECMO venovenosa evolui com h","Paciente em ECMO venovenosa evolui com hipoxemia refratária. Qual estratégia ventilatória é mais recomendada?","Ventilação ultraprotectora com baixos volumes correntes","Volume corrente de 10 mL/kg","PEEP zero para evitar barotrauma","Hiperventilação mandatória","A",""
