id,me,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,correta,explicacao,justificativa_a,justificativa_b,justificativa_c,justificativa_d
sim-me1simulado1trimestreprovaa30qpontos151html-2,ME1,,"1) Caso ClínicoÉtica/Bioética Paciente de 45 anos, Testemunha de Jeová, assina termo de recusa de transfusão sanguínea antes de colecistectomia eletiva. Durante a cirurgia, ocorre sangramento intenso (Hb estimada 4,0 g/dL) com instabilidade hemodinâmica e risco iminente de morte. O paciente está anestesiado e incapaz de manifestar vontade. Qual conduta ética e juridicamente mais correta?","Transfundir imediatamente, pois risco de morte justifica qualquer conduta.","Respeitar a recusa previamente documentada, usando todas as medidas alternativas disponíveis.",Interromper a cirurgia e aguardar o paciente recuperar a consciência.,Acionar o Ministério Público para autorização judicial emergencial. || E) Transfundir somente com autorização expressa do familiar presente.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-20,ME1,,19) Caso ClínicoRiscos Profissionais Residente de anestesiologia sofre acidente perfurocortante com agulha utilizada em paciente HIV+. Quanto tempo há para iniciar a profilaxia pós-exposição (PEP) e qual a conduta prioritária imediata?,PEP em até 72 horas; lavagem imediata do local com água e sabão.,Aguardar resultado de exames do paciente-fonte antes de qualquer conduta.,Iniciar vacinação anti-HIV imediatamente após o acidente.,Realizar teste rápido somente após 30 dias para confirmação. || E) Notificar apenas se o paciente apresentar carga viral detectável.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-21,ME1,,"20) SBA/SUS Segundo a Resolução CFM nº 2.174/2017, qual é o número máximo de salas cirúrgicas simultâneas que um anestesiologista pode supervisionar como responsável pela equipe de anestesia?",1 sala.,2 salas.,3 salas.,4 salas. || E) 5 salas.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-22,ME1,,"21) Caso ClínicoÉtica/Bioética Paciente de 70 anos com neoplasia pulmonar estágio IV solicita que, caso entre em parada cardiorrespiratória no intraoperatório, não sejam realizadas manobras de reanimação. O cirurgião discorda. Considerando as diretivas antecipadas de vontade (DAV), qual conduta é eticamente mais adequada?","Seguir orientação do cirurgião, pois ele é responsável pelo ato cirúrgico.","Respeitar a DAV, documentar no prontuário e comunicar toda a equipe.",Ignorar a solicitação do paciente por contrariar o princípio da beneficência.,Encaminhar ao Comitê de Ética apenas se houver conflito familiar. || E) Realizar cirurgia sem anestesia geral para evitar risco de PCR.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-23,ME1,,"22) Caso ClínicoAvaliação Pré-Anestésica Paciente masculino, 60 anos, com IAM há 3 meses, é encaminhado para artroplastia total de joelho eletiva. Segundo diretrizes do ACC/AHA e SBA, qual a recomendação?",Operar imediatamente; o risco cardíaco pós-IAM é maior nos primeiros 7 dias.,Aguardar pelo menos 60 dias após o IAM.,"Aguardar pelo menos 3 a 6 meses após o IAM, especialmente se stent foi implantado.","Realizar a cirurgia com balão intra-aórtico em standby. || E) Solicitar ECG e ecocardiograma; se normais, liberar para cirurgia.",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-24,ME1,,"23) Caso ClínicoVias Aéreas Paciente de 45 anos com angioedema hereditário apresenta edema progressivo de língua e orofaringe após uso de inibidor da ECA. Estridor, disfonia e SpO₂ 91% em ar ambiente. Via aérea potencialmente ""não intubável e não oxigenável"". Qual acesso é mais seguro?",Intubação orotraqueal com videolaringoscópio.,Máscara laríngea Proseal como dispositivo definitivo.,Cricotireoidostomia de emergência (acesso cirúrgico de via aérea).,Ventilação não invasiva com CPAP. || E) Intubação nasotraqueal às cegas.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-25,ME1,,"24) Caso ClínicoÉtica/Bioética Médico anestesiologista publica em rede social uma foto de paciente em sala operatória, sem qualquer identificação, com o intuito de ensinar sobre determinada técnica anestésica. O paciente não foi consultado previamente. Esta conduta representa violação do:","Princípio da beneficência, pois a publicação pode ajudar outros pacientes.","Sigilo médico e privacidade do paciente, mesmo sem identificação explícita.","Princípio da equidade, por não permitir acesso à educação médica.","Dever de informação, pois o médico deveria ter avisado apenas o hospital. || E) Regulamento interno hospitalar, sem implicações éticas para o CRM.",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-26,ME1,,"25) Avaliação Pré-Anestésica Em relação ao exame de coagulação no pré-operatório de cirurgias eletivas, qual a recomendação atual das diretrizes para pacientes sem história clínica de coagulopatia, sem uso de anticoagulantes e sem doença sistêmica grave?",TTPA e TP sempre obrigatórios para qualquer cirurgia.,Exames de coagulação não são rotineiramente recomendados sem indicação clínica.,Apenas o TTPA deve ser solicitado rotineiramente.,Apenas a contagem de plaquetas deve ser solicitada rotineiramente. || E) INR obrigatório para qualquer cirurgia com risco de sangramento.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-27,ME1,,"26) Caso ClínicoRiscos Profissionais Anestesiologista de 29 anos relata uso frequente de midazolam ""para relaxar"" após plantões extenuantes, progredindo para uso de opioides obtidos do estoque da sala cirúrgica. Percebendo o problema, um colega decide comunicar ao CRM e à direção do hospital. Esta conduta do colega é:","Antiética, pois viola o segredo médico entre colegas.","Ética e necessária, pois o médico dependente representa risco direto ao paciente.",Optativa; o colega pode ou não comunicar conforme sua consciência.,Correta apenas se o médico dependente concordar com a comunicação. || E) Indevida; cabe apenas ao anestesiologista dependente se autodeclarar ao CRM.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-28,ME1,,"27) Caso ClínicoSBA/SUS Em hospital universitário do SUS, o chefe de anestesiologia impõe que os residentes realizem bloqueios peridurais sem supervisão direta em seus primeiros 30 dias de residência. Considerando a Resolução CFM nº 2.174/2017, esta prática é:","Permitida, pois residentes são médicos habilitados para atuar de forma independente.",Proibida; residentes em anestesiologia devem sempre ser supervisionados por anestesiologista especialista.,Permitida somente para procedimentos de baixo risco.,"Regulamentada exclusivamente pelo MEC, sem envolvimento do CFM. || E) Facultativa conforme o programa de residência de cada instituição.",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-29,ME1,,"28) Caso ClínicoVias Aéreas Paciente de 60 anos com tumour de laringe previamente submetido a radioterapia cervical é encaminhado para laringoscopia direta com biópsia sob anestesia geral. A avaliação de via aérea revela abertura bucal de 2,5 cm, Mallampati IV, cicatrizes cervicais extensas e trismo moderado. O planejamento mais seguro para esta via aérea é:",Indução inalatória com sevoflurano e laringoscopia direta com lâmina Macintosh nº 4.,Intubação por fibroscopia com paciente acordado (awake intubation) com sedação mínima e anestesia tópica.,Indução venosa padrão e tentativa com videolaringoscópio sem plano alternativo.,Bloqueio neuromuscular profundo antes da laringoscopia para melhorar as condições. || E) Máscara laríngea como via aérea definitiva para o procedimento cirúrgico.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-3,ME1,,"2) Ética/Bioética Segundo o Código de Ética Médica e os princípios da bioética, qual princípio fundamenta o respeito à decisão do paciente capaz de compreender sua situação clínica?",Beneficência.,Não maleficência.,Autonomia.,Justiça. || E) Veracidade.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-30,ME1,,"29) SBA/SUS Qual dos seguintes documentos regulamenta especificamente o exercício da anestesiologia no Brasil, incluindo requisitos para equipes, supervisão de residentes e condições mínimas de segurança em salas cirúrgicas?",Lei nº 8.080/1990 (Lei Orgânica da Saúde).,Resolução CFM nº 2.174/2017.,Código de Defesa do Consumidor (Lei nº 8.078/1990).,Código Civil Brasileiro (Lei nº 10.406/2002). || E) Resolução ANVISA RDC nº 50/2002.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-31,ME1,,"30) Caso ClínicoAvaliação Pré-Anestésica Paciente de 75 anos, ASA III, com marcapasso implantado definitivo (modo DDDR) por bloqueio atrioventricular total, é submetido a colecistectomia eletiva. No intraoperatório, o bisturi elétrico monopolar interfere com o marcapasso, causando inibição temporária com assistolia de 5 segundos. Qual medida pré-operatória poderia ter prevenido este evento?",Substituição do marcapasso por modelo mais moderno na véspera da cirurgia.,Reprogramação do marcapasso para modo assíncrono (VOO/DOO) antes da cirurgia e uso de bisturi bipolar ou ultrassônico.,Suspensão do marcapasso durante o ato cirúrgico e monitorização com ECG contínuo.,Uso de dose elevada de atropina no pré-operatório imediato para evitar bradicardia. || E) Realização de cardioversão elétrica profilática antes da indução anestésica.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-4,ME1,,"3) Caso ClínicoResponsabilidade Médica Anestesiologista realiza bloqueio peridural para cirurgia ortopédica eletiva. Por falha na antissepsia, o paciente desenvolve abscesso epidural com paraplegia permanente. Laudos periciais confirmam que o médico não seguiu os protocolos preconizados. Em relação à responsabilidade civil, é correto afirmar:","Obrigação de resultado; havendo dano, presume-se culpa automaticamente.","Obrigação de meio; necessário comprovar culpa (imprudência, imperícia ou negligência).",Anestesiologista não responde; dano foi infeccioso e imprevisível.,Responsabilidade exclusiva do hospital empregador. || E) Sem responsabilidade; complicação inerente ao procedimento.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-5,ME1,,"4) SBA/SUS Qual princípio do SUS garante a disponibilidade de ações e serviços de saúde a toda a população, sem qualquer forma de discriminação?",Integralidade.,Universalidade.,Equidade.,Descentralização. || E) Hierarquização.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-6,ME1,,"5) Caso ClínicoRiscos Profissionais Anestesiologista trabalha em radiologia intervencionista realizando 8 procedimentos/semana. Usa avental plumbífero, mas não utiliza proteção cervical. Apresenta nódulo tireoidiano detectado em ultrassom ocupacional de rotina. Qual EPI é considerado prioritário e mais frequentemente negligenciado nesse cenário?",Luvas de chumbo.,Óculos plumbíferos.,Protetor de tireoide (colar cervical plumbífero).,Sapatos com isolamento de chumbo. || E) Máscara N95 com filtro de chumbo.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-7,ME1,,"6) Caso ClínicoAvaliação Pré-Anestésica Homem de 67 anos, 90 kg, tabagista (40 maços-ano), hipertenso e diabético tipo 2, candidato a colectomia eletiva. Exame: SpO₂ 94% em ar ambiente, sibilos bilaterais, PA 158/96 mmHg, glicemia de jejum 187 mg/dL. Qual conduta é MAIS adequada?",Liberar imediatamente; achados esperados para a idade.,"Solicitar espirometria, otimizar controle pressórico e glicêmico antes da cirurgia eletiva.",Cancelar definitivamente por risco cirúrgico inaceitável.,Realizar apenas ECG e liberar com pré-medicação ansiolítica. || E) Adiar 24 horas e repetir glicemia capilar.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-8,ME1,,"7) Caso ClínicoAvaliação Pré-Anestésica Paciente de 52 anos, ASA I, submetida a histerectomia eletiva. Após indução com propofol e fentanil, evolui com broncoespasmo grave e hipotensão. A família informa que a paciente tinha asma não documentada. A falha na identificação desta condição no pré-anestésico configura:","Caso fortuito, sem responsabilidade do anestesiologista.","Negligência médica, por ausência de anamnese adequada.","Imperícia médica, por erro técnico na administração do propofol.","Imprudência médica, por excesso na dose de fentanil. || E) Evento adverso inevitável, sem implicação ética.",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30qpontos151html-9,ME1,,"8) Avaliação Pré-Anestésica Paciente com insuficiência cardíaca estável (NYHA II), hipertensão arterial controlada com dois fármacos e diabetes mellitus tipo 2 com HbA1c 7,2%. Qual classificação ASA é correta?",ASA I.,ASA II.,ASA III.,ASA IV. || E) ASA V.,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-10,ME1,,A Sociedade Brasileira de Anestesiologia (SBA) é responsável por qual das seguintes ações no contexto da anestesiologia brasileira?,Regulação e fiscalização do exercício profissional da medicina no Brasil.,Organização do Título Superior em Anestesiologia (TSA) e credenciamento de programas de residência em anestesiologia.,Concessão de CRM aos médicos formados em anestesiologia.,Definição de remuneração mínima obrigatória para anestesiologistas em hospitais públicos. || E) Aplicação de penalidades administrativas a médicos que descumprem normas éticas.,B,"A SBA é a entidade científica responsável pela organização da especialidade no Brasil, incluindo a prova do TSA (Título Superior em Anestesiologia), credenciamento de programas de residência e promoção do desenvolvimento científico. A regulação do exercício profissional e aplicação de penalidades éticas são atribuições do CFM/CRM. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-11,ME1,,"Grupo de anestesiologistas de uma cidade de médio porte decide constituir uma cooperativa médica para prestar serviços a hospitais e clínicas da região. Um dos participantes questiona os princípios básicos que regem o cooperativismo.

Entre os princípios do cooperativismo reconhecidos internacionalmente pela Aliança Cooperativa Internacional (ACI), está:",Maximização do lucro individual dos cooperados como objetivo central.,"Gestão democrática pelos membros, com cada cooperado tendo direito a um voto.",Hierarquia rígida entre cooperados conforme o capital investido.,Vedação à distribuição de sobras entre os cooperados. || E) Exclusividade de serviços apenas para os cooperados fundadores.,B,"Os sete princípios do cooperativismo da ACI incluem: adesão voluntária e aberta; gestão democrática (um membro, um voto); participação econômica dos membros; autonomia e independência; educação, formação e informação; intercooperação; e interesse pela comunidade. A gestão democrática com voto igualitário é característica fundamental. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-12,ME1,,"A Resolução CFM 2.174/2017 estabelece normas para o exercício da anestesiologia no Brasil. Sobre a relação anestesiologista:paciente em procedimentos de médio e alto risco, esta resolução determina que:",Um anestesiologista pode supervisionar até quatro salas simultâneas sem restrições.,A presença física e exclusiva de um anestesiologista por sala é obrigatória em procedimentos de médio e alto risco.,Técnicos de enfermagem com treinamento específico podem substituir o anestesiologista em procedimentos de baixo risco.,Residentes de anestesiologia podem conduzir anestesias de alto risco sem supervisão a partir do segundo ano. || E) A relação 1:2 (um anestesiologista para duas salas) é permitida em qualquer nível de complexidade.,B,"A Resolução CFM 2.174/2017 determina que em procedimentos de médio e alto risco anestésico-cirúrgico, a presença física e exclusiva do anestesiologista é obrigatória. A relação de 1:1 (um anestesiologista por sala) é a norma para estes casos, não sendo permitida supervisão simultânea de múltiplas salas sem adequada supervisão de residente ou outro especialista. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-13,ME1,,"Anestesiologista de 38 anos, com 12 anos de prática, relata fadiga crônica, irritabilidade, dificuldade de concentração durante os plantões e consumo crescente de álcool nos finais de semana. Sua produção no trabalho tem diminuído e seus pares notam mudanças de comportamento.

Este quadro é mais sugestivo de qual condição reconhecida como risco profissional do anestesiologista?",Síndrome de Burnout com possível transtorno por uso de substância.,Depressão maior com episódio único sem relação com o trabalho.,Transtorno de ansiedade generalizada isolado.,Síndrome de adaptação ao trabalho noturno sem repercussão clínica relevante. || E) Transtorno de personalidade borderline descompensado.,A,"A Síndrome de Burnout em anestesiologistas é caracterizada por exaustão emocional, despersonalização e redução da realização profissional. A combinação com uso crescente de substância (álcool) é preocupante e frequentemente comórbida. Anestesiologistas têm taxas elevadas de Burnout e transtorno por uso de substâncias, sendo este um risco profissional reconhecido pela SBA e AMB. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-14,ME1,,"Durante procedimento cirúrgico de rotina, o anestesiologista sofre acidente com agulha contaminada com sangue de paciente soropositivo para HIV. O acidente ocorre às 22h em hospital de médio porte.

Qual é a conduta IMEDIATA mais importante neste caso?",Aguardar o resultado do teste rápido do paciente-fonte antes de tomar qualquer decisão sobre profilaxia.,"Lavar abundantemente o local com água e sabão e iniciar profilaxia pós-exposição (PEP) o mais precocemente possível, idealmente em até 2 horas.",Comunicar o acidente apenas ao médico do trabalho no próximo dia útil.,Iniciar a PEP somente se a carga viral do paciente-fonte for detectável. || E) Aguardar 24 horas para ver se há sintomas antes de decidir pela PEP.,B,"Após acidente com material biológico potencialmente contaminado por HIV, a conduta imediata inclui: lavagem do local com água e sabão, avaliação do risco (tipo de exposição, status sorológico da fonte) e início da PEP idealmente em até 2 horas, no máximo 72 horas após a exposição. O protocolo deve ser iniciado o mais rapidamente possível, conforme diretrizes do Ministério da Saúde. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-15,ME1,,"Quanto à exposição crônica a agentes anestésicos inalatórios no ambiente de trabalho, qual das alternativas descreve corretamente um risco ocupacional documentado?",Exposição a baixas concentrações de agentes halogenados não tem qualquer efeito documentado na saúde do trabalhador.,A exposição crônica a gases anestésicos residuais está associada a maior risco de abortamento espontâneo e hepatotoxicidade em trabalhadores de saúde.,O óxido nitroso não apresenta qualquer toxicidade ocupacional relevante.,"Sistemas de evacuação de gases anestésicos não são necessários em salas com ventilação natural. || E) A exposição a agentes inalatórios é segura em qualquer concentração, pois os equipamentos modernos são herméticos.",B,"Estudos epidemiológicos demonstraram associação entre exposição crônica a gases anestésicos residuais (especialmente halogenados e óxido nitroso) e maior risco de abortamento espontâneo, infertilidade e hepatotoxicidade em trabalhadores de saúde. Por isso, sistemas de evacuação de gases e monitoramento ambiental são obrigatórios nos centros cirúrgicos modernos. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-16,ME1,,"Hospital universitário realiza treinamento sobre biossegurança no centro cirúrgico. O instrutor aborda os tipos de luvas cirúrgicas e o risco de dermatite de contato nos profissionais de saúde.

Sobre alergia ao látex em profissionais de saúde, qual alternativa está CORRETA?",A sensibilização ao látex não ocorre em profissionais de saúde sem atopia prévia.,"A reação ao látex é sempre imediata (tipo I, IgE mediada) e nunca de contato (tipo IV).","O uso frequente de luvas de látex com talco é fator de risco para sensibilização, pois o talco carrega partículas proteicas aerossolizadas.",Profissionais com alergia ao látex podem usar luvas com talco sem riscos adicionais. || E) A prevalência de alergia ao látex em profissionais de saúde é semelhante à da população geral.,C,"As luvas de látex com talco são um fator de risco importante para sensibilização ao látex, pois o talco adsorve as proteínas do látex e as aerossoliza quando as luvas são colocadas ou retiradas, facilitando a sensibilização por via inalatória. Profissionais de saúde têm prevalência de alergia ao látex muito maior que a população geral (até 17% vs. 1%), e podem desenvolver tanto reação imediata (tipo I) quanto de contato (tipo IV). Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-17,ME1,,A dependência química de opioides em anestesiologistas é um risco profissional reconhecido. Qual das alternativas descreve corretamente uma característica desta condição nesta população?,Anestesiologistas têm menor risco de dependência de opioides em comparação a outras especialidades médicas.,O fácil acesso a opioides no ambiente de trabalho é um fator de risco relevante para dependência nesta especialidade.,A dependência de opioides em médicos não apresenta risco para os pacientes.,O retorno ao trabalho de médico dependente de opioide em recuperação é contraindicado de forma permanente. || E) A prevalência de dependência de substâncias em anestesiologistas é exclusivamente de álcool.,B,"O fácil acesso a opioides potentes no ambiente de trabalho (fentanil, sufentanil, remifentanil) é um dos principais fatores de risco para dependência química em anestesiologistas. Estudos mostram que esta especialidade tem prevalência significativamente maior de dependência de opioides em comparação a outras especialidades médicas, o que tem levado à criação de programas de assistência a médicos dependentes. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-18,ME1,,"Paciente masculino, 68 anos, 110 kg, 1,72 m (IMC 37,2 kg/m²), portador de diabetes mellitus tipo 2 em uso de metformina, hipertensão arterial sistêmica (HAS) em uso de losartana e enalapril, e insuficiência renal crônica estágio 3 (TFG 38 mL/min). Aguarda colostomia eletiva por neoplasia de reto. Exames pré-operatórios: creatinina 2,1 mg/dL, potássio 5,7 mEq/L, hemoglobina 9,8 g/dL.

De acordo com a classificação ASA, este paciente é classificado como:",ASA I,ASA II,ASA III,ASA IV || E) ASA V,C,"O paciente apresenta múltiplas comorbidades (DM2, HAS, IRC estágio 3, obesidade grau II) sem risco imediato de morte, o que configura ASA III (doença sistêmica grave). Para ser ASA IV, necessitaria de condição que representasse ameaça à vida ou comprometimento funcional grave constante (como IRC estágio 4-5, ICC descompensada ou doença coronariana instável). A hiperpotassemia leve e anemia moderada reforçam o ASA III. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me1simulado1trimestreprovaa30questoespontos15html-19,ME1,,"O mesmo paciente da questão 17 tem cirurgia eletiva programada para 7h da manhã. Seu último alimento sólido foi consumido às 22h do dia anterior. Às 6h, o anestesiologista de plantão é consultado porque o paciente bebeu 200 mL de suco de laranja com polpa às 5h da manhã.

De acordo com as diretrizes atuais de jejum pré-operatório (ASA 2023), qual é a conduta mais adequada?",Cancelar a cirurgia e remarcar para o dia seguinte.,"Proceder normalmente, pois suco com polpa é considerado líquido claro e pode ser ingerido até 2 horas antes.","Adiar a cirurgia por pelo menos 6 horas, pois suco com polpa é considerado refeição leve e não líquido claro.","Realizar a cirurgia normalmente, pois 1 hora de espera adicional é suficiente para qualquer tipo de alimento. || E) Proceder com RSI (indução de sequência rápida) independentemente do tipo de conteúdo ingerido.",C,"Suco de laranja com polpa NÃO é considerado líquido claro. É classificado como refeição leve (contém partículas e gordura). As diretrizes da ASA (2023) recomendam jejum de 6 horas para refeições leves em adultos. Portanto, com ingestão às 5h da manhã, a cirurgia deve ser adiada para pelo menos 11h, representando 6 horas de jejum adequado. Alternativa E preservada junto da D para compatibilidade.",,,,
