id,me,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,correta,explicacao,justificativa_a,justificativa_b,justificativa_c,justificativa_d
sim-me3simulado1trimestreprovaa30qpontos3741html-2,ME3,,"Caso Clínico · Feocromocitoma

Paciente masculino, 42 anos, com diagnóstico de feocromocitoma confirmado por dosagem de metanefrinas urinárias elevadas, está sendo preparado para adrenalectomia laparoscópica. A PA ao repouso é de 168/102 mmHg e a FC de 88 bpm. O cirurgião solicita avaliação pré-operatória. Qual a sequência CORRETA de bloqueio farmacológico para o preparo deste paciente?","Iniciar betabloqueador para controle da FC, seguido de alfabloqueador após 7 dias","Iniciar alfabloqueador (fenoxibenzamina ou doxazosina) por 10–14 dias, com betabloqueador adicionado apenas após controle alfa-adrenérgico adequado",Iniciar inibidor da ECA associado a betabloqueador para controle pressórico,"Bloqueio alfa e beta podem ser iniciados simultaneamente, sem ordem de preferência || E) Aguardar controle espontâneo da PA com dieta hipossódica antes de iniciar drogas",B,"— O bloqueio alfa SEMPRE precede o betabloqueio. O uso de betabloqueador isolado bloqueia a vasodilatação beta-2 mediada, levando à hipertensão paradoxal grave por ação alfa sem oposição. Fenoxibenzamina (10–14 dias) ou doxazosina são as drogas de escolha; o betabloqueador é acrescentado apenas após o alfa estar bem estabelecido, principalmente para controle de taquicardia reflexa. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-20,ME3,,"Caso Clínico · Via Aérea Difícil BMF

Paciente com anquilose temporomandibular bilateral há 8 anos, abertura de boca de 4 mm e Mallampati IV, necessita de anestesia geral para artrotomia mandibular. Qual a estratégia mais segura para manejo da via aérea?",ISR com succinilcolina e tentativa de intubação direta às cegas,Intubação orotraqueal convencional após indução com propofol,"Intubação com fibroscópio flexível com paciente acordado e cooperativo, após anestesia tópica da via aérea e sedação consciente",Traqueostomia cirúrgica de urgência como único recurso disponível || E) Máscara laríngea como dispositivo definitivo de via aérea para toda a cirurgia,C,"— Via aérea previsivelmente difícil (abertura mínima, Mallampati IV, distância interdental 4 mm) é indicação clássica de intubação com paciente ACORDADO via fibrobroncoscópio flexível. A intubação acordada preserva o tônus muscular e a respiração espontânea, permitindo resgatar a via aérea se necessário. Anestesia tópica escalonada (nebulização + spray + injeção transtraqueal) + sedação com dexmedetomidina ou midazolam em dose ansiolítica. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-21,ME3,,"Teórica · Odontologia / Reflexos

O reflexo trigeminocardíaco (RTC) pode ocorrer durante cirurgias bucomaxilofaciais e odontológicas. Qual afirmação sobre este reflexo está CORRETA?",O RTC cursa com taquicardia e hipertensão reflexa,"O RTC é mediado pelo nervo vago (X par) e causa bradicardia, assistolia, hipotensão e apneia; é tratado interrompendo o estímulo e com atropina IV",O RTC não ocorre em pacientes sob anestesia geral profunda,O RTC é exclusivo de cirurgias oftalmológicas (reflexo oculocardíaco) || E) A atropina é contraindicada no tratamento do RTC pediátrico,B,"— O RTC é mediado pelo arco reflexo: ramo aferente = nervo trigêmeo (V par) → núcleo sensitivo do trigêmeo → núcleo motor do vago → ramo eferente = nervo vago (X par). Resulta em bradicardia, hipotensão, assistolia, apneia. Tratamento: PARAR o estímulo cirúrgico → atropina 0,01–0,02 mg/kg IV. Prevenção: infiltração local antes da manipulação, evitar tração excessiva, anestesia profunda adequada. O reflexo oculocardíaco tem o mesmo mecanismo (ramo oftálmico do V). Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-22,ME3,,"Caso Clínico · Tubo de Duplo Lúmen

Paciente programado para lobectomia superior esquerda por videotoracoscopia necessita de ventilação monopulmonar. Qual o dispositivo de escolha para isolamento pulmonar e como é confirmado o posicionamento?",Máscara laríngea de alto volume; confirmação pela capnografia,Tubo de duplo lúmen esquerdo (TDL-E); confirmação obrigatória por fibrobroncoscopia após intubação e após posicionamento lateral,Tubo orotraqueal convencional avançado seletivamente para o brônquio principal direito,Bloqueador brônquico não é adequado para VMP em adultos || E) O TDL deve ser confirmado apenas por ausculta clínica bilateral,B,— O TDL esquerdo é o mais utilizado por ter um ângulo de intubação mais favorável (brônquio esquerdo mais longo e angulado). A confirmação por fibrobroncoscópio é OBRIGATÓRIA: (1) após intubação em decúbito dorsal; (2) após mudança para decúbito lateral (que pode deslocar o tubo). A ausculta isolada não é suficiente. O bloqueador brônquico é alternativa válida quando TDL não é disponível ou em via aérea difícil. Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-23,ME3,,"Caso Clínico · VPH e Hipoxemia

Durante ventilação monopulmonar para ressecção pulmonar, o paciente desenvolve hipoxemia progressiva (SpO2 cai de 98% para 88% em 10 minutos). A FiO2 já está em 1,0. Qual a manobra de resgate de PRIMEIRA linha para tratar a hipoxemia durante VMP?",Aumentar o volume corrente para 12 mL/kg para melhorar a oxigenação,Interromper imediatamente a cirurgia e retornar à ventilação bipulmonar,Aplicar CPAP (5–10 cmH2O com O2 100%) no pulmão operado (não ventilado) e/ou PEEP no pulmão ventilado dependente,Administrar vasopressor para aumentar a pressão de perfusão pulmonar || E) Converter para ventilação de alta frequência (HFOV),C,"— O manejo da hipoxemia durante VMP segue uma sequência: (1) FiO2 1,0; (2) CPAP 5–10 cmH2O com O2 100% no pulmão não-dependente (operado) — mantém recrutamento sem interferir no campo cirúrgico; (3) PEEP 5 cmH2O no pulmão dependente (ventilado); (4) se refratária, pinçamento temporário da artéria pulmonar pelo cirurgião (elimina shunt intrapulmonar); (5) reexpansão periódica do pulmão operado. Volumes correntes altos causam VILI (lesão pulmonar por ventilação). Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-24,ME3,,"Caso Clínico · VPH

Durante a ventilação monopulmonar, a vasoconstrição pulmonar hipóxica (VPH) é um mecanismo protetor fisiológico que redireciona o fluxo do pulmão não-ventilado para o ventilado. Qual das seguintes condições INIBE a VPH, piorando o shunt intrapulmonar?",Hipercapnia moderada (PaCO2 50 mmHg),Vasopressores alfa-adrenérgicos como fenilefrina,"Altas doses de anestésicos halogenados (> 1 CAM), vasodilatadores como nitroglicerina e nitroprussiato, e hipoventilação do pulmão dependente",PEEP moderado (5 cmH2O) no pulmão dependente || E) Hipotermia leve (35°C),C,"— A VPH é inibida por: anestésicos halogenados em doses > 1 CAM (vasodilatação pulmonar), vasodilatadores sistêmicos (nitroglicerina, nitroprussiato, hidralazina — vasodilatam também a vasculatura pulmonar hipóxica), hipoventilação do pulmão dependente (↑ PvO2 alveolar local). O propofol e os opioides preservam melhor a VPH. A escolha do agente anestésico influencia diretamente a oxigenação durante VMP. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-25,ME3,,"Teórica · Cirurgia Torácica

Em relação à analgesia multimodal pós-operatória em cirurgia torácica, qual técnica regional apresenta melhor nível de evidência para controle da dor pós-toracotomia e redução de complicações pulmonares?",Bloqueio do nervo frênico bilateral,"Analgesia peridural torácica (APT) com anestésico local ± opioide é considerada padrão-ouro, com redução comprovada de complicações pulmonares",Morfina IM em dose fixa a cada 6 horas,Bloqueio do plano eretor da espinha (ESP) tem evidências superiores à peridural torácica || E) A analgesia intravenosa com remifentanil em infusão é superior à peridural para toracotomia aberta,B,"— A analgesia peridural torácica (APT) com bupivacaína/ropivacaína ± opioide é o padrão-ouro para toracotomia aberta. Vantagens: analgesia superior, redução de atelectasias, pneumonia, rebaixamento da função respiratória e da síndrome dolorosa pós-toracotomia. Para VATS (videotoracoscopia), blocos de parede torácica como SERRATUS anterior e ESP são alternativas eficazes com menor risco. O bloqueio paravertebral é alternativa à peridural em VATS e toracotomias selecionadas. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-26,ME3,,"Caso Clínico · Cirurgia Torácica Complicação

Após pneumonectomia direita, o paciente é encaminhado à UTI intubado. Na avaliação inicial, observa-se desvio da traqueia para a esquerda, hipotensão progressiva e abafamento de bulhas. A radiografia de tórax mostra opacificação completa do hemitórax direito com desvio mediastinal. Qual o diagnóstico e conduta?",Atelectasia do pulmão esquerdo; fisioterapia respiratória imediata,Empiema pleural precoce; punção diagnóstica com envio para cultura,Herniação cardíaca pós-pneumonectomia; reposicionamento cirúrgico de emergência,Síndrome pós-pneumonectomia; tratamento conservador com fisioterapia || E) Fístula broncopleural; broncoscopia diagnóstica imediata,C,"— A herniação cardíaca pós-pneumonectomia ocorre quando há abertura do pericárdio durante a ressecção e o coração hernia para o espaço pleural vazio. É emergência cirúrgica: tríade de hipotensão + taquicardia + ECG com alterações de eixo. O desvio mediastinal após pneumonectomia direita para a ESQUERDA com hemitórax opaco é achado esperado (lentamente). A herniação para direita (espaço vazio) causa: torção das veias cavas, obstrução de saída ventricular. Tratamento: reposicionamento cirúrgico imediato. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-27,ME3,,"Teórica · Farmacologia / Endócrino

O etomidato é frequentemente utilizado na indução anestésica de pacientes hemodinamicamente instáveis. Qual o efeito endocrinológico clinicamente relevante que limita seu uso em infusão contínua?",Hiperglicemia por antagonismo da insulina,"Inibição da 11-beta-hidroxilase adrenal, suprimindo a síntese de cortisol e causando insuficiência adrenal em infusão prolongada",Hipotireoidismo agudo por inibição da TPO,Hipocalcemia por antagonismo do PTH || E) Hiperaldosteronismo transitório com retenção de sódio,B,"— O etomidato inibe a 11-β-hidroxilase (enzima-chave na síntese de cortisol e aldosterona). Uma dose de indução causa supressão por 6–8h; em infusão contínua (UTI) pode causar insuficiência adrenal clinicamente significativa com aumento de mortalidade (estudo CORTICUS). Por isso, seu uso é restrito à indução anestésica em bolus, com cautela em pacientes sépticos. Em pacientes com doença de Addison confirmada, a dose de indução deve ser acompanhada de cobertura corticosteroidal. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-28,ME3,,"Caso Clínico · Trauma Torácico

Paciente com trauma torácico fechado em decorrência de acidente de moto apresenta enfisema subcutâneo crescente, desvio de traqueia e ausência de murmúrio vesicular à esquerda, com hipotensão. Qual o diagnóstico e conduta imediata?",Hemotórax simples; drenagem torácica com tubo 28Fr,"Pneumotórax hipertensivo; descompressão imediata com agulha no 2º espaço intercostal, linha hemiclavicular, seguida de drenagem torácica",Contusão pulmonar bilateral; ventilação protetora com volume corrente baixo,Ruptura de aorta torácica; transferência imediata para centro de cirurgia vascular || E) Tamponamento cardíaco; pericardiocentese de urgência,B,"— Pneumotórax hipertensivo: desvio de traqueia CONTRA-LATERAL, ausência de MV ipsilateral, hipotensão, turgência de jugulares, cianose. É DIAGNÓSTICO CLÍNICO — não aguardar RX. Tratamento: descompressão imediata com agulha calibrosa no 2º EIC, linha hemiclavicular (ou 4º–5º EIC, linha axilar média) → drenagem com tubo. Demora mata. No intubado, ventilação com pressão positiva pode converter pneumotórax simples em hipertensivo. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-29,ME3,,"Caso Clínico · Feocromocitoma Intraoperatório

Durante adrenalectomia por feocromocitoma, após manipulação do tumor, o paciente apresenta PA de 240/130 mmHg e FC de 120 bpm. Qual droga é a MAIS INDICADA para tratar a crise hipertensiva aguda neste momento?",Metoprolol IV em bolus imediato para controle da FC e da PA,Nitroprussiato de sódio em infusão IV ou fentolamina IV (alfa-bloqueador de ação curta) para vasodilatação imediata,Hidralazina IM para redução gradual da PA,Clonidina IV para estimulação alfa-central e redução periférica || E) Aguardar; a crise é autolimitada e resolve com o fim da manipulação,B,"— Durante ressecção de feocromocitoma, a manipulação do tumor libera catecolaminas em bolus. O tratamento de escolha é: nitroprussiato de sódio (titrável, início imediato) ou fentolamina (alfa-bloqueador seletivo) IV. O betabloqueador NUNCA deve ser dado antes do alfa-bloqueio estar estabelecido (risco de hipertensão paradoxal). Após a ligadura vascular do tumor, pode ocorrer hipotensão profunda — ter vasopressores (noradrenalina) prontos. MgSO4 IV também pode ser usado como adjuvante. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-3,ME3,,"Caso Clínico · Crise Tireotóxica

Paciente feminina, 34 anos, submetida a tireoidectomia total por bócio multinodular. No 2º dia pós-operatório desenvolve febre de 39,8°C, FC de 148 bpm, agitação, diarreia e confusão mental. A escala de Burch-Wartofsky é calculada em 65 pontos. Qual a combinação terapêutica MAIS adequada para esta emergência?",Propranolol IV + propiltiouracil (PTU) + iodo (solução de Lugol) + hidrocortisona + resfriamento ativo,Metimazol oral + amiodarona IV + antitérmico + hidratação,Iodo radioativo + propranolol VO + corticoide oral,Somente betabloqueador e antitérmico são necessários neste cenário || E) Plasmaférese é o tratamento de primeira linha na crise tireotóxica,A,"— O tratamento da crise tireotóxica segue o mnemônico dos ""Bs"": Bloquear síntese (PTU preferido por inibir também conversão T4→T3), Bloquear liberação (iodo administrado APÓS o PTU — mínimo 1h), Betabloqueador (propranolol IV/VO para sintomas adrenérgicos), Corticoide (hidrocortisona 100 mg 8/8h), e medidas de suporte (resfriamento, hidratação). Escore Burch-Wartofsky ≥45 confirma tempestade tireoidiana. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-30,ME3,,"Teórica · ISR — Farmacologia

Na intubação de sequência rápida (ISR), qual é a dose preconizada de succinilcolina e qual é a principal contraindicação absoluta além do paciente queimado?","0,5 mg/kg IV; contraindicada em gestantes","1,5 mg/kg IV; contraindicada em hipercalemia, miopatias, desnervação/imobilização prolongada, histórico de hipertermia maligna e miotonia",3 mg/kg IV; contraindicada apenas em alergia documentada,"1 mg/kg IV; contraindicada somente em insuficiência renal grave || E) 0,1 mg/kg IV; contraindicada em glaucoma de ângulo fechado",B,"— Succinilcolina: dose ISR = 1,5 mg/kg IV (ou 4 mg/kg IM sem acesso). Contraindicações absolutas: hipercalemia (K+ > 5,5 mEq/L ou risco de hipercalemia — rabdomiólise, queimadura > 24h, desnervação, imobilização prolongada), miopatias (distrofia muscular de Duchenne — rabdomiólise massiva), histórico pessoal ou familiar de hipertermia maligna (é gatilho em combinação com halogenados), miotonia congênita (espasmo muscular generalizado). Gestação não é contraindicação. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me3simulado1trimestreprovaa30qpontos3741html-31,ME3,,"Caso Clínico · Queimado + Endócrino

Paciente de 55 anos, portador de hipotireoidismo primário em uso irregular de levotiroxina, sofreu queimaduras de 35% SCQ e necessita de desbridamento cirúrgico urgente. TSH = 28 mU/L, T4 livre = 0,4 ng/dL. Quais as implicações anestésicas mais relevantes neste contexto combinado?",O hipotireoidismo não tem impacto relevante na condução da anestesia; pode proceder normalmente,"Hipotireoidismo aumenta sensibilidade a depressores do SNC, risco de hipotermia, bradicardia e hipotensão; associado ao queimado, há maior risco de instabilidade hemodinâmica; administrar levotiroxina IV pré-op e monitorar temperatura rigorosamente",Deve-se adiar a cirurgia por pelo menos 6 semanas para otimização tireoidiana,A tireóide não influencia a resposta metabólica ao trauma cirúrgico || E) Apenas a T4 livre é relevante; TSH elevado não tem significado clínico perioperatório,B,"— O hipotireoidismo grave (mixedema) aumenta sensibilidade a opioides, benzodiazepínicos e inalatórios (reduzir doses), risco de hipotermia (redução da termogênese), bradicardia, disfunção cardíaca e íleo. No queimado, o hipotireoidismo agrava a instabilidade hemodinâmica e retarda a cicatrização. Para cirurgia urgente, administrar levotiroxina IV (dose equivalente a 75% da oral), aquecer ativamente, titular anestésicos com cuidado. Adiar para eletivas se TSH > 10. Alternativa E preservada junto da D para compatibilidade.",,,,
