id,me,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,correta,explicacao,justificativa_a,justificativa_b,justificativa_c,justificativa_d
sim-me2simulado1trimestreprovaa30qpontos2023html-2,ME2,,"Um pesquisador conduz um ensaio clínico randomizado comparando dois analgésicos pós-operatórios. Ao final do estudo, ele conclui que não há diferença entre os tratamentos (p = 0,3). Entretanto, o tamanho amostral calculado foi de 200 pacientes por grupo, e o estudo incluiu apenas 40 pacientes por grupo.

Qual é o principal problema metodológico desse estudo e qual tipo de erro estatístico ele cometeu?",Viés de seleção; erro tipo I (falso positivo),Poder estatístico insuficiente (beta elevado); erro tipo II (falso negativo),Confundimento; erro tipo I (falso positivo),Viés de aferição; erro tipo II (falso negativo) || E) Tamanho amostral adequado; não há erro,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-20,ME2,,"Um vaporizador calibrado para isoflurano é inadvertidamente preenchido com desflurano. O anestesiologista inicia a anestesia e percebe sinais de profundidade anestésica excessiva com hipotensão grave.

Por que isso ocorre? Qual é a principal diferença físico-química entre isoflurano e desflurano relevante neste cenário?","O desflurano tem maior ponto de ebulição, gerando menor concentração no vaporizador","O desflurano tem maior pressão de vapor (669 mmHg vs ~238 mmHg do isoflurano), resultando em concentração muito maior que a marcada no vaporizador","O desflurano é menos solúvel no sangue, causando recuperação mais rápida","O desflurano tem maior CAM, sendo necessário maior concentração para anestesia || E) Não há diferença relevante; o vaporizador compensa automaticamente",B,Q19B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-21,ME2,,"Em circuito semifechado com baixo fluxo de gás fresco, o anestesiologista observa que o absorvedor de CO₂ (Amsorb Plus) está completamente branco, sem mudança de cor. O CO₂ expirado está sendo detectado pelo capnógrafo em 5 mmHg na fase inspiratória.

Qual é a explicação mais correta para a reinalação de CO₂ com absorvedor aparentemente íntegro?",O absorvedor ainda tem capacidade residual; aumentar FGF temporariamente,"Canalização (channeling) do gás pelo absorvedor, bypass do material ativo; necessita troca ou inversão do canister",O Amsorb Plus não muda de cor ao se esgotar; sempre trocar por tempo de uso,Falha na válvula inspiratória unidirecional; verificar e trocar a válvula || E) O capnógrafo está mal calibrado; recalibrar,B,Q20B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-22,ME2,,"A lei de Fick para difusão de gases afirma que o fluxo de um gás através de uma membrana é proporcional à área de superfície e à diferença de pressão parcial, e inversamente proporcional à espessura da membrana e à raiz quadrada do peso molecular.

Qual agente inalatório apresenta maior coeficiente de difusão e, portanto, maior velocidade de difusão?",Isoflurano (PM = 184),Sevoflurano (PM = 200),Desflurano (PM = 168),Óxido nitroso (PM = 44) || E) Halotano (PM = 197),D,Q21D Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-23,ME2,,"Durante manutenção anestésica com sevoflurano a 2% em circuito com baixo fluxo (0,5 L/min de O₂ e ar), a FiO₂ cai progressivamente para 0,21. O anestesiologista suspeita de hipóxia por diluição.

Qual é o mecanismo pelo qual a FiO₂ cai em circuito de baixo fluxo e qual a intervenção imediata?",Consumo de O₂ pelo paciente supera o aporte pelo FGF; aumentar FGF ou fração de O₂ no FGF,O sevoflurano desloca o O₂ do circuito; reduzir concentração do agente,Falha do fluxômetro de O₂; trocar a máquina de anestesia,Absorção de N₂ do tecido adiposo dilui O₂; não há como evitar || E) O absorvedor consome O₂ na reação química com CO₂,A,Q22A Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-24,ME2,,"Um sistema Mapleson A (Magill) é usado em paciente adulto com ventilação espontânea durante cirurgia eletiva de 45 minutos. O fluxo de gás fresco utilizado é de 4,5 L/min (equivalente à ventilação-minuto do paciente).

Por que o sistema Mapleson A é o mais eficiente para ventilação ESPONTÂNEA?","A válvula APL fica próxima ao paciente, eliminando o CO₂ alveolar preferencialmete durante a expiração","O reservatório fica próximo ao paciente, facilitando a reinalação controlada","O gás fresco entra próximo ao paciente, deslocando CO₂ antes que ele chegue ao reservatório","A válvula APL fica distante do paciente, forçando reinalação mínima de CO₂ morto anatomicamente || E) O sistema Mapleson A possui absorvedor de CO₂ integrado",A,Q23A Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-25,ME2,,"Paciente de 45 anos, obeso (IMC = 38), sem comorbidades, será submetido a cirurgia abdominal eletiva. O anestesiologista planeja usar sevoflurano. Sabe-se que a obesidade altera o coeficiente de partição sangue/gás dos agentes inalatórios.

Qual das afirmações sobre o impacto da obesidade na farmacocinética dos agentes inalatórios está CORRETA?",A obesidade não altera a captação de agentes inalatórios,"Agentes mais lipossolúveis (halotano) têm maior acúmulo no tecido adiposo, prolongando a recuperação em obesos","O desflurano, por ser mais lipossolúvel, tem recuperação mais lenta em obesos que o sevoflurano",A obesidade reduz a CAM de todos os agentes inalatórios || E) A concentração alveolar não é afetada pelo débito cardíaco elevado da obesidade,B,Q24B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-26,ME2,,"Durante anestesia com halotano em criança de 4 anos, a equipe nota ritmo de bigeminismo ventricular no ECG. O anestesiologista suspeita de sensibilização miocárdica às catecolaminas. O cirurgião está usando adrenalina 1:100.000 para hemostasia local.

Qual é o mecanismo pelo qual o halotano predispõe a arritmias com adrenalina?","O halotano bloqueia receptores beta-1, potencializando o efeito arritmogênico","O halotano sensibiliza o miocárdio às catecolaminas por mecanismo de reentrada e alteração de canais de cálcio/sódio, reduzindo o limiar para arritmias",A adrenalina bloqueia os efeitos do halotano no nódulo sinusal,O halotano aumenta a liberação de noradrenalina endógena || E) Não existe interação entre halotano e adrenalina; as arritmias são coincidentes,B,Q25B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-27,ME2,,"Paciente de 35 anos, ASA I, desenvolve hipertermia maligna (HM) durante indução com sevoflurano e succinilcolina. Os primeiros sinais são: aumento do EtCO₂, rigidez muscular generalizada, taquicardia e aumento da temperatura corporal.

Qual é o mecanismo fisiopatológico da hipertermia maligna?",Inibição dos receptores GABA no SNC com hiperatividade simpática,"Liberação descontrolada de cálcio do retículo sarcoplasmático por defeito no receptor RyR1, causando hipermetabolismo muscular",Bloqueio da cadeia respiratória mitocondrial por agentes inalatórios halogenados,Reação alérgica à succinilcolina com ativação do complemento || E) Síndrome serotoninérgica por interação medicamentosa,B,Q26B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-28,ME2,,"Anestesiologista avalia dois agentes para manutenção: sevoflurano (CAM = 2%, coef. sangue/gás = 0,65) e isoflurano (CAM = 1,15%, coef. sangue/gás = 1,4). O cirurgião prevê término da cirurgia em 20 minutos e quer extubação rápida.

Qual agente é mais adequado para extubação precoce e por quê?","Isoflurano; tem maior CAM, permitindo plano anestésico mais estável",Sevoflurano; menor coeficiente de partição sangue/gás = menor solubilidade = recuperação mais rápida,"Isoflurano; menor pressão de vapor, acumulando menos no tecido adiposo",Ambos são equivalentes em velocidade de recuperação || E) Isoflurano; é metabolizado mais rapidamente pelo fígado,B,Q27B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-29,ME2,,"Durante neuromonitorização com potenciais evocados motores (PEM) em cirurgia de coluna, o neurofisiologista solicita redução do agente inalatório pois os PEM estão suprimidos com sevoflurano a 1,2 CAM.

Qual é a explicação correta para a supressão dos PEM pelo sevoflurano?","O sevoflurano aumenta a excitabilidade cortical, dificultando a leitura dos PEM","Agentes inalatórios halogenados deprimem a condução no sistema nervoso central e nas vias motoras de forma dose-dependente, suprimindo os PEM","A supressão dos PEM é causada pelo bloqueio neuromuscular residual, não pelo sevoflurano","Os PEM são insensíveis a agentes inalatórios; a causa é outra || E) O sevoflurano apenas suprime PEA (potenciais evocados auditivos), não motores",B,Q28B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-3,ME2,,"Em um estudo sobre profilaxia de náuseas pós-operatórias, a ondansetrona reduziu a incidência de NVPO de 40% (grupo controle) para 20% (grupo tratamento). Cada paciente recebeu 1 dose do medicamento ou placebo.

Qual é o NNT (número necessário para tratar) nesse estudo?",2,5,10,20 || E) 40,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-30,ME2,,"Paciente de 70 anos, com doença coronariana estável, em uso de betabloqueador, será submetido a cirurgia de prótese de quadril. Planeja-se anestesia geral inalatória com isoflurano. O cardiologista pergunta sobre os efeitos cardiovasculares do isoflurano.

Qual é o principal efeito cardiovascular do isoflurano em doses clínicas?",Aumento da resistência vascular sistêmica com hipertensão,Vasodilatação sistêmica com redução da RVS e da PA; preservação relativa do débito cardíaco,Depressão miocárdica intensa com bradicardia reflexa,Aumento do consumo de O₂ miocárdico || E) Efeito inotrópico positivo com taquicardia,B,Q29B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-31,ME2,,"Uma criança de 3 anos, ASA I, será submetida a amigdalectomia. O anestesiologista considera a indução inalatória com sevoflurano a 8% em O₂ 100% por máscara facial (indução em altas concentrações). Após perda de consciência, planeja intubação orotraqueal.

Qual é a principal VANTAGEM do sevoflurano sobre o halotano para indução inalatória pediátrica?",Menor concentração de indução necessária (menor CAM pediátrica),"Odor mais agradável, menor irritação das vias aéreas e menor cardiotoxicidade (menor sensibilização miocárdica às catecolaminas)","Maior potência anestésica (menor CAM = 0,9%)","Metabolização hepática mais extensa, garantindo maior segurança || E) Indução mais lenta, permitindo monitorização mais cuidadosa",B,Q30B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-4,ME2,,"Um anestesiologista deseja saber se a exposição a óxido nitroso durante a gravidez aumenta o risco de aborto espontâneo em enfermeiras de centro cirúrgico. Devido à raridade do desfecho e à dificuldade de seguimento prospectivo, ele opta por identificar mulheres com e sem aborto e averiguar a exposição prévia a N₂O.

Qual tipo de estudo epidemiológico está sendo descrito?",Coorte prospectiva,Ensaio clínico randomizado,Caso-controle,Transversal (cross-sectional) || E) Coorte retrospectiva,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-5,ME2,,"Uma meta-análise avalia 12 ECRs sobre ketamina como adjuvante analgésico. A análise estatística revela heterogeneidade importante (I² = 78%). Os autores decidem usar modelo de efeitos aleatórios em vez de modelo de efeitos fixos.

Qual é a principal razão para escolher o modelo de efeitos aleatórios nessa situação?",Ele aumenta artificialmente o poder estatístico da análise,Ele assume que todos os estudos estimam o mesmo efeito verdadeiro subjacente,"Ele acomoda a variabilidade real entre os estudos, assumindo que os efeitos verdadeiros variam entre populações",Ele elimina os outliers automaticamente da análise || E) É obrigatório quando há mais de 10 estudos incluídos,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-6,ME2,,"Um pesquisador define alfa = 0,05 em um estudo clínico e obtém p = 0,03. Ele conclui que há diferença estatisticamente significativa entre os grupos. Contudo, a diferença absoluta entre médias foi de 0,2 mmHg na pressão arterial média.

Qual conceito melhor complementa a interpretação desse resultado?",Erro tipo II: o resultado negativo não tem importância,Significância estatística não implica necessariamente relevância clínica,"O valor de p < 0,05 garante que o resultado é clinicamente relevante",O intervalo de confiança não precisa ser avaliado nesse cenário || E) A diferença é clinicamente relevante porque p < alfa,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-7,ME2,,"Um estudo observacional acompanha 500 anestesiologistas por 10 anos para avaliar a incidência de síndrome de burnout. Os participantes são recrutados em um momento inicial (sem o desfecho) e seguidos no tempo até o evento ocorrer ou o estudo terminar.

Qual tipo de estudo é esse e qual medida de associação é mais adequada para seus resultados?",Caso-controle; odds ratio,Coorte prospectiva; risco relativo (ou hazard ratio),Transversal; prevalência,Ecológico; correlação de Pearson || E) Ensaio clínico; diferença de médias,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-8,ME2,,"Um novo teste para identificar pacientes em risco de broncoespasmo intraoperatório é avaliado. Em 200 pacientes de alto risco, o teste é positivo em 90 dos 100 que realmente desenvolveram broncoespasmo. Entre os 100 que NÃO desenvolveram broncoespasmo, o teste foi positivo em 10.

Quais são, respectivamente, a sensibilidade e a especificidade desse teste?","Sensibilidade 90%, especificidade 90%","Sensibilidade 90%, especificidade 10%","Sensibilidade 10%, especificidade 90%","Sensibilidade 50%, especificidade 50% || E) Sensibilidade 80%, especificidade 80%",A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-9,ME2,,"Pesquisadores comparam três grupos de analgesia (paracetamol, ibuprofeno, dipirona) em relação à escala numérica de dor (0–10) no pós-operatório. Os dados apresentam distribuição não-normal.

Qual teste estatístico não-paramétrico é mais indicado para comparar os três grupos simultaneamente?",Teste t de Student não-pareado,ANOVA one-way,Teste de Kruskal-Wallis,Teste de Mann-Whitney || E) Correlação de Spearman,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaahtml-10,ME2,,"Durante uma cirurgia cardíaca com circulação extracorpórea, o anestesiologista utiliza altas doses de fentanil como componente analgésico principal. No pós-operatório imediato, o paciente apresenta rigidez torácica intensa que dificulta a ventilação mecânica.

Questão 9 Durante uma cirurgia cardíaca com circulação extracorpórea, o anestesiologista utiliza altas doses de fentanil como componente analgésico principal. No pós-operatório imediato, o paciente apresenta rigidez torácica intensa que dificulta a ventilação mecânica. Qual receptor opioide é PREDOMINANTEMENTE responsável pela rigidez muscular (tórax rígido) induzida por opioides de alta potência?",Receptor kappa (κ),Receptor delta (δ),Receptor mu (μ),Receptor sigma (σ) || E) Receptor NOP/ORL1 (nociceptina),C,"9. C — A rigidez torácica (síndrome do tórax rígido) é mediada predominantemente pelos receptores mu (μ) no estriado e núcleos da base, não sendo efeito periférico muscular direto. Opioides de alta potência e administração rápida IV (fentanil, sufentanil, alfentanil, remifentanil) são os principais causadores. O tratamento inclui relaxante muscular (succinilcolina ou rocurônio) e/ou naloxona. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me2simulado1trimestreprovaahtml-11,ME2,,"Paciente de 35 anos, 70 kg, dependente de heroína, admitido para apendicectomia de emergência. A equipe cirúrgica questiona o anestesiologista sobre o manejo analgésico perioperatório, considerando a tolerância cruzada e a possibilidade de síndrome de abstinência.

Questão 10 Paciente de 35 anos, 70 kg, dependente de heroína, admitido para apendicectomia de emergência. A equipe cirúrgica questiona o anestesiologista sobre o manejo analgésico perioperatório, considerando a tolerância cruzada e a possibilidade de síndrome de abstinência. Sobre tolerância e dependência a opioides, assinale a alternativa CORRETA:",A tolerância ocorre exclusivamente por dessensibilização de receptores mu por fosforilação (regulação para baixo),A síndrome de abstinência de opioides pode ser fatal devido à depressão respiratória intensa,"A tolerância cruzada é parcial, e doses maiores que o habitual podem ser necessárias para analgesia adequada","O tramadol não apresenta tolerância cruzada com opioides de receptor mu || E) A naloxona deve ser evitada em pacientes dependentes pois precipita síndrome de abstinência grave, porém não reversível",C,"10. C — A tolerância cruzada entre opioides é parcial (não completa), portanto na rotação de opioides utiliza-se 50–75% da dose equianalgésica calculada. A tolerância envolve múltiplos mecanismos (dessensibilização, downregulation de receptores, alterações de vias intracelulares). A síndrome de abstinência de opioides NÃO é fatal (diferente do álcool/benzodiazepínicos). A naloxona precipita abstinência grave MAS reversível (sua meia-vida é curta, 30–90 min). Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me2simulado1trimestreprovaahtml-12,ME2,,"Paciente de 50 anos em cirurgia de grande porte abdominal recebe infusão contínua de remifentanil durante todo o procedimento. Ao final da cirurgia, ao suspender a infusão, o paciente apresenta dor intensa e parece necessitar de doses analgésicas superiores ao esperado para o tipo de procedimento.

Questão 11 Paciente de 50 anos em cirurgia de grande porte abdominal recebe infusão contínua de remifentanil durante todo o procedimento. Ao final da cirurgia, ao suspender a infusão, o paciente apresenta dor intensa e parece necessitar de doses analgésicas superiores ao esperado para o tipo de procedimento. Qual fenômeno explica a hiperalgesia e maior consumo de analgésicos observados após infusão prolongada de remifentanil?",Síndrome de abstinência aguda por meia-vida ultracurta,"Hiperalgesia induzida por opioides (OIH) por sensibilização central, mediada em parte por receptores NMDA",Taquifilaxia por downregulation de receptores mu espinhais,Efeito rebote por ativação compensatória de receptores kappa || E) Metabolismo acelerado do remifentanil gerando metabólitos pró-nociceptivos ativos,B,"11. B — A hiperalgesia induzida por opioides (OIH) é um fenômeno de sensibilização central onde a exposição prolongada a opioides paradoxalmente aumenta a sensibilidade à dor. Mecanismos incluem ativação de receptores NMDA, sensibilização de neurônios espinhais, liberação de dinorfinas e ativação de células gliais. Estratégias preventivas incluem uso de cetamina (antagonista NMDA) e analgesia multimodal. Difere da tolerância (menor efeito com mesma dose) por envolver aumento de sensibilidade. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me2simulado1trimestreprovaahtml-13,ME2,,"Paciente de 68 anos, 80 kg, com miastenia gravis em tratamento com piridostigmina, será submetido a timectomia videoassistida. O anestesiologista planeja anestesia geral com bloqueio neuromuscular.

Questão 12 Paciente de 68 anos, 80 kg, com miastenia gravis em tratamento com piridostigmina, será submetido a timectomia videoassistida. O anestesiologista planeja anestesia geral com bloqueio neuromuscular. Qual bloqueador neuromuscular e qual conduta são mais adequados neste paciente?",Succinilcolina em dose habitual; sem necessidade de monitorização especial,Rocurônio em dose reduzida com monitorização neuromuscular rigorosa; reversão com sugammadex,Cisatracúrio em dose plena; reversão com neostigmina sem restrições,Pancurônio em dose habitual; evitar reversão farmacológica || E) Succinilcolina em dose dobrada para superar a resistência dos receptores nicotínicos bloqueados pela piridostigmina,B,"12. B — Em miastenia gravis, os pacientes são extremamente sensíveis aos bloqueadores não despolarizantes (resistência aos receptores nicotínicos reduzidos exige menor dose). A succinilcolina tem resposta imprevisível (pode ser resistente por redução de receptores ou prolongada por uso de anticolinesterásicos). O rocurônio em dose reduzida com monitorização rigorosa é adequado; o sugammadex garante reversão completa e rápida, essencial nestes pacientes de risco para bloqueio residual. Alternativa E preservada junto da D para compatibilidade.",,,,
sim-me2simulado1trimestreprovaahtml-14,ME2,,"Durante intubação de sequência rápida em paciente com estômago cheio, o anestesiologista administra succinilcolina 1,5 mg/kg IV. Após a intubação, a monitorização neuromuscular (TOF) mostra recuperação completa em 12 minutos. Entretanto, o cirurgião solicita um segundo agente para manutenção do relaxamento durante a cirurgia de 3 horas.

Questão 13 Durante intubação de sequência rápida em paciente com estômago cheio, o anestesiologista administra succinilcolina 1,5 mg/kg IV. Após a intubação, a monitorização neuromuscular (TOF) mostra recuperação completa em 12 minutos. Entretanto, o cirurgião solicita um segundo agente para manutenção do relaxamento durante a cirurgia de 3 horas. Qual é o mecanismo pelo qual a succinilcolina produz bloqueio neuromuscular e por que sua duração é tão curta?",Bloqueio competitivo da acetilcolina na placa motora; duração curta por redistribuição tecidual rápida,Despolarização persistente da placa motora (bloqueio fase I); duração curta pela hidrólise pela pseudocolinesterase plasmática,Antagonismo da acetilcolina no receptor nicotínico; metabolismo hepático de primeira passagem,Despolarização seguida imediatamente de bloqueio competitivo (fase II); duração curta por excreção renal || E) Inibição da liberação pré-sináptica de acetilcolina; curta duração pela recaptação neuronal,B,13. B — A succinilcolina é um agonista do receptor nicotínico que produz despolarização persistente da placa motora (bloqueio fase I): a placa permanece despolarizada e refratária a novos estímulos. A curta duração (10–15 min) deve-se à hidrólise rápida pela pseudocolinesterase (butirilcolinesterase) plasmática em succinilmonocolina e colina inativas. Deficiência de pseudocolinesterase (genética ou adquirida) prolonga dramaticamente seu efeito. Alternativa E preservada junto da D para compatibilidade.,,,,
